"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-30;12H 18M 44S;"CS";1;1;1;1;-1;3;1993;0;0;50;7;23;"surfing";"sun";"Other";"Weather";"Weather"
2021-03-30;12H 20M 44S;"CS";1;NA;1;1;1;3;1997;0;99;0,05;7;1;"Xtc";"Weightlifting";"Other";"Other";"Other"
2021-03-30;12H 24M 9S;"CS";0;1;1;1;1;3;1996;0;60;10;15;0;"Sunny";"Friends";"Weather";"Social";"Weather"
2021-03-30;12H 26M 34S;"BUS";1;1;1;0;1;1;1996;0;60;100;12;23;"Doing Data Mining";"Doing more Data Mining";"Goals";"Goals";"Goals"
2021-03-30;12H 28M 12S;"AI";0;0;1;0;0;3;1996;1;50;5;7;2;"sun";"friends";"Weather";"Social";"Weather"
2021-03-30;12H 29M 20S;"CS";0;0;1;0;1;3;1999;1;10;0,2;10;23;"No obligations";"Being at home";"Resting";"Other";"Resting"
2021-03-30;12H 32M 25S;"AI";0;0;1;1;1;1;1996;0;37;5;7;1;"snow";"not messing up something";"Resting";"Resting";"Resting"
2021-03-30;12H 33M 37S;"AI";1;NA;1;1;-1;1;1996;0;50;40;8;0;"Hanging out with friend, some good food and a nice drink.";"Riding my horse with some nice weather.";"F&B";"Weather";"F&B"
2021-03-30;12H 39M 7S;"AI";0;NA;1;0;1;3;1995;1;60;5;6;23;"completed todo tasks";"real life social activity with friends";"Goals";"Social";"Goals"
2021-03-30;12H 41M 22S;"BUS";1;0;1;1;-1;3;1999;0;50;75;8;22;"1";"2";"Other";"Other";"Other"
